id,region_id,name,code,type
1,1,AKSRI,80322,COMMUNITY
2,1,AMSKROUD,80302,COMMUNITY
3,1,AOURIR,80750,COMMUNITY
4,1,AZIAR,80325,COMMUNITY
5,1,BENSERGAO,80007,COMMUNITY
6,1,DRARGUA,80044,COMMUNITY
7,1,IDMINE,80323,COMMUNITY
8,1,IMOUZZER IDA OU TANANE,80303,COMMUNITY
9,1,IMSOUANE,80043,COMMUNITY
10,1,SEBT ASSAKA,80522,COMMUNITY
11,1,TAALAT,80102,COMMUNITY
12,1,TADRART,80326,COMMUNITY
13,1,TAGHAZOUTE,80022,COMMUNITY
14,1,TAMRAGHT,80023,COMMUNITY
15,1,TAMRI,80502,COMMUNITY
16,1,TIKIOUINE,80652,COMMUNITY
17,1,TIQQI,80324,COMMUNITY
18,8,ABADOU,42072,COMMUNITY
19,8,AGHBALOU,42472,COMMUNITY
20,8,AGHBAR,42153,COMMUNITY
21,8,AGHOUATIM,42304,COMMUNITY
22,8,AIT AADEL,42073,COMMUNITY
23,8,AIT FASKA,42082,COMMUNITY
24,8,AIT HKIM AIT YZID,42053,COMMUNITY
25,8,AIT OURIR,42050,COMMUNITY
26,8,AIT SIDI DAOUD,42083,COMMUNITY
27,8,AMGHRAS,42104,COMMUNITY
28,8,AMIZMIZ,42103,COMMUNITY
29,8,ANOUGAL,42124,COMMUNITY
30,8,ARBAA TIRHEDOUINE,42074,COMMUNITY
31,8,ASNI,42152,COMMUNITY
32,8,AZGOUR,42122,COMMUNITY
33,8,DAR JAMAA,42105,COMMUNITY
34,8,GHMATE,42252,COMMUNITY
35,8,HAD ABADALLAH GHIATE,40066,COMMUNITY
36,8,HAD ZERKTEN,42075,COMMUNITY
37,8,IGHIL,42154,COMMUNITY
38,8,IGOUDAR,42402,COMMUNITY
39,8,IGUERFEROUANE,42054,COMMUNITY
40,8,IJOUKAK,42155,COMMUNITY
41,8,IMGDAL,42172,COMMUNITY
42,8,LALLA TAKARKOUSTE,42202,COMMUNITY
43,8,MOULAY BRAHIM,42174,COMMUNITY
44,8,OUAZGUITA,42106,COMMUNITY
45,8,OUIRGANE,42173,COMMUNITY
46,8,OUKAIMEDEN,40273,COMMUNITY
47,8,OULAD MTAA,42112,COMMUNITY
48,8,SIDI BADHAJ,42113,COMMUNITY
49,8,STI FADMA,42303,COMMUNITY
50,8,TADDART,42076,COMMUNITY
51,8,TAHANAOUTE,42302,COMMUNITY
52,8,TAMAGUERT,42055,COMMUNITY
53,8,TAMAZOUZTE,42272,COMMUNITY
54,8,TAMESLOUHTE,42312,COMMUNITY
55,8,TAZZARTE,42084,COMMUNITY
56,8,TIDILI MESFIOUA,42085,COMMUNITY
57,8,TIZGUINE,42102,COMMUNITY
58,8,TLETA NYACOUB,42353,COMMUNITY
59,8,TNINE OURIKA,42452,COMMUNITY
60,8,TOUAMA,42086,COMMUNITY
61,9,ABDELGHAYA SOUAHEL,32354,COMMUNITY
62,9,AIN BENABBOU,32372,COMMUNITY
63,9,AIT KAMRA,32022,COMMUNITY
64,9,AIT YOUSSEF OU ALI,32003,COMMUNITY
65,9,AJDIR,35052,COMMUNITY
66,9,ARBAA TAOURIRT,32004,COMMUNITY
67,9,BENI GMIL MESTASSA,32122,COMMUNITY
68,9,BNI ABDALLAH,32172,COMMUNITY
69,9,BNI AHMED IMOUKZAN,32355,COMMUNITY
70,9,BNI AMMART,32352,COMMUNITY
71,9,BNI BCHIR,32374,COMMUNITY
72,9,BNI BOUAYACH,32050,COMMUNITY
73,9,BNI BOUCHIBET,32356,COMMUNITY
74,9,BNI BOUFRAH,32102,COMMUNITY
75,9,BNI BOUNSAR,32373,COMMUNITY
76,9,BNI GMIL MAKSOULINE,32103,COMMUNITY
77,9,BNI HADIFA,32152,COMMUNITY
78,9,CHAKRANE,32023,COMMUNITY
79,9,IKAOUEN,32322,COMMUNITY
80,9,IMRABTEN,32202,COMMUNITY
81,9,IMZOUREN,32250,COMMUNITY
82,9,ISSAGUEN,32302,COMMUNITY
83,9,IZEMMOUREN,32024,COMMUNITY
84,9,KETAMA,32323,COMMUNITY
85,9,LOUTA,32033,COMMUNITY
86,9,MOULAY AHMED CHERIF,32362,COMMUNITY
87,9,NEKKOUR,32072,COMMUNITY
88,9,ROUADI,32006,COMMUNITY
89,9,SENADA,32013,COMMUNITY
90,9,SIDI BOUTMIM,32363,COMMUNITY
91,9,SIDI BOUZINEB,32375,COMMUNITY
92,9,TABARANNT,32324,COMMUNITY
