id,city,place,code
1,RABAT,QUARTIER MANSOUR,10000
2,RABAT,QUARTIER MINARET,10000
3,RABAT,QUARTIER MOULAY ISMAIL,10000
4,RABAT,QUARTIER ROYAL,10000
5,RABAT,QUARTIER SAHAT AL ALAOUIYINE,10000
6,RABAT,CITE ADMINISTRATIVE,10010
7,RABAT,CITE FOCH,10020
8,RABAT,CITE OLM,10020
9,RABAT,QUARTIER HASSAN,10020
10,RABAT,IMMEUBLE KARRAKCHOU,10030
11,RABAT,QUARTIER ANCIENNE MEDINA,10030
12,RABAT,QUARTIER HAZZAN KOUTIL,10030
13,RABAT,QUARTIER KASBAT OUDAYA,10030
14,RABAT,QUARTIER LAALOU,10030
15,RABAT,QUARTIER LAGZA,10030
16,RABAT,QUARTIER LOUZ,10030
17,RABAT,QUARTIER MELLAH,10030
18,RABAT,QUARTIER MOULAY ABDELLAH,10030
19,RABAT,QUARTIER SIDI FATEH,10030
20,RABAT,QUARTIER SOUIKA,10030
21,RABAT,QUARTIER TELAGRAPHE,10030
22,RABAT,QUARTIER MARASSA,10040
23,RABAT,SANIAT GHARBIA,10040
24,RABAT,QUARTIER OCEAN,10040
25,RABAT,QUARTIER TOKYO,10040
26,RABAT,SANIAT GHARBIA,10040
27,RABAT,JNANE AL FATH ALA,10050
28,RABAT,QUARTIER AKKARI,10050
29,RABAT,QUARTIER KATYOUNE,10050
30,RABAT,QUARTIER KEBIBAT,10050
31,RABAT,QUARTIER KSAR LABHAR,10050
32,RABAT,QUARTIER LA COGOGNE,10050
33,RABAT,QUARTIER DIOUR JAMAA,10060
34,RABAT,QUARTIER LES ORANGERS,10060
35,RABAT,BLOC K,10070
36,RABAT,BLOC M,10070
37,RABAT,BLOC R,10070
38,RABAT,HAY EL KHEIR,10070
39,RABAT,HAY GUICH,10070
40,RABAT,QUARTIER A,10070
41,RABAT,QUARTIER B,10070
42,RABAT,QUARTIER C,10070
43,RABAT,QUARTIER D,10070
44,RABAT,QUARTIER DISPENSAIRE LALLA AMINA,10070
45,RABAT,QUARTIER F,10070
46,RABAT,QUARTIER H,10070
47,RABAT,QUARTIER I,10070
48,RABAT,QUARTIER J,10070
49,RABAT,QUARTIER JDID,10070
50,RABAT,QUARTIER L,10070
51,RABAT,QUARTIER LAHBAS,10070
52,RABAT,QUARTIER LHAMMAM,10070
53,RABAT,QUARTIER LKHAMSSINE,10070
54,RABAT,QUARTIER LMALAAB,10070
55,RABAT,QUARTIER LMOUSSIKA,10070
56,RABAT,QUARTIER MAISON DES JEUNES,10070
57,RABAT,QUARTIER MECHOUAR,10070
58,RABAT,QUARTIER N,10070
59,RABAT,QUARTIER O,10070
60,RABAT,QUARTIER Q,10070
61,RABAT,QUARTIER S,10070
62,RABAT,QUARTIER U,10070
63,RABAT,QUARTIER W,10070
64,RABAT,QUARTIER X,10070
65,RABAT,QUARTIER AGDAL HAUT,10080
66,RABAT,QUARTIER ADMINISTRATIFE AGDAL,10090
67,RABAT,QUARTIER AGDAL BAS,10090
68,RABAT,QUARTIER OUM KALTHOUM,10090
69,RABAT,QUARTIER RYAD BAS,10100
70,RABAT,SECTEUR 1,10100
71,RABAT,SECTEUR 10,10100
72,RABAT,SECTEUR 11,10100
73,RABAT,SECTEUR 12,10100
74,RABAT,SECTEUR 13,10100
75,RABAT,SECTEUR 14,10100
76,RABAT,SECTEUR 15,10100
77,RABAT,SECTEUR 16,10100
78,RABAT,SECTEUR 17,10100
79,RABAT,SECTEUR 18,10100
80,RABAT,SECTEUR 19,10100
81,RABAT,SECTEUR 2,10100
82,RABAT,SECTEUR 20,10100
83,RABAT,SECTEUR 21,10100
84,RABAT,SECTEUR 22,10100
85,RABAT,SECTEUR 3,10100
86,RABAT,SECTEUR 4,10100
87,RABAT,SECTEUR 5,10100
88,RABAT,SECTEUR 6,10100
89,RABAT,SECTEUR 7,10100
90,RABAT,SECTEUR 8,10100
91,RABAT,SECTEUR 9,10100
92,RABAT,QUARTIER 25,10110
93,RABAT,QUARTIER CHAUMIERES I,10110
94,RABAT,QUARTIER CHAUMIERES II,10110
95,RABAT,QUARTIER RYAD HAUT,10110
96,RABAT,SECTEUR 23,10110
97,RABAT,SECTEUR 24,10110
98,RABAT,SECTEUR 25,10110
99,RABAT,CITE OLM HASSAN,10120
100,RABAT,CITE YAACOUB AL MANSOUR,10120
101,RABAT,DOUAR RJA FELLAH,10120
102,RABAT,QUARTIER B OUEST,10120
103,RABAT,QUARTIER BATIMAT JAMAA,10120
104,RABAT,QUARTIER BOUHLAL,10120
105,RABAT,QUARTIER CYM,10120
106,RABAT,QUARTIER ECHABAB,10120
107,RABAT,QUARTIER ESSABAH,10120
108,RABAT,QUARTIER HAJ KACEM,10120
109,RABAT,QUARTIER JADID,10120
110,RABAT,QUARTIER KAMRA NORD,10120
111,RABAT,QUARTIER KAMRA SUD,10120
112,RABAT,QUARTIER BOUITATE,10130
113,RABAT,QUARTIER CHBANAT,10130
114,RABAT,QUARTIER D COMPLEMENT,10130
115,RABAT,QUARTIER DA,10130
116,RABAT,QUARTIER DB,10130
117,RABAT,QUARTIER DC,10130
118,RABAT,QUARTIER DE,10130
119,RABAT,QUARTIER DF,10130
120,RABAT,QUARTIER DG,10130
121,RABAT,QUARTIER DH,10130
122,RABAT,QUARTIER DI,10130
123,RABAT,QUARTIER DJ,10130
124,RABAT,QUARTIER DK,10130
125,RABAT,QUARTIER DL,10130
126,RABAT,QUARTIER DM,10130
127,RABAT,QUARTIER DN,10130
128,RABAT,QUARTIER DO,10130
129,RABAT,QUARTIER DP,10130
130,RABAT,QUARTIER DQ,10130
131,RABAT,QUARTIER DR,10130
132,RABAT,QUARTIER DS,10130
133,RABAT,QUARTIER DT,10130
134,RABAT,QUARTIER DU,10130
135,RABAT,QUARTIER DV,10130
136,RABAT,QUARTIER DW,10130
137,RABAT,QUARTIER DX,10130
138,RABAT,QUARTIER DY,10130
139,RABAT,QUARTIER E,10130
140,RABAT,QUARTIER HADJ SLIMANE,10130
141,RABAT,QUARTIER HAJ SLIMANE,10130
142,RABAT,QUARTIER KORRA,10130
143,RABAT,QUARTIER KOUASS,10130
144,RABAT,HAY SOPHAL,10140
145,RABAT,QUARTIER AMAL,10140
