id,name,code,type
1,AKSRI,80322,COMMUNITY
2,AMSKROUD,80302,COMMUNITY
3,AOURIR,80750,COMMUNITY
4,AZIAR,80325,COMMUNITY
5,BENSERGAO,80007,COMMUNITY
6,DRARGUA,80044,COMMUNITY
7,IDMINE,80323,COMMUNITY
8,IMOUZZER IDA OU TANANE,80303,COMMUNITY
9,IMSOUANE,80043,COMMUNITY
10,SEBT ASSAKA,80522,COMMUNITY
11,TAALAT,80102,COMMUNITY
12,TADRART,80326,COMMUNITY
13,TAGHAZOUTE,80022,COMMUNITY
14,TAMRAGHT,80023,COMMUNITY
15,TAMRI,80502,COMMUNITY
16,TIKIOUINE,80652,COMMUNITY
17,TIQQI,80324,COMMUNITY
18,ABADOU,42072,COMMUNITY
19,AGHBALOU,42472,COMMUNITY
20,AGHBAR,42153,COMMUNITY
21,AGHOUATIM,42304,COMMUNITY
22,AIT AADEL,42073,COMMUNITY
23,AIT FASKA,42082,COMMUNITY
24,AIT HKIM AIT YZID,42053,COMMUNITY
25,AIT OURIR,42050,COMMUNITY
26,AIT SIDI DAOUD,42083,COMMUNITY
27,AMGHRAS,42104,COMMUNITY
28,AMIZMIZ,42103,COMMUNITY
29,ANOUGAL,42124,COMMUNITY
30,ARBAA TIRHEDOUINE,42074,COMMUNITY
31,ASNI,42152,COMMUNITY
32,AZGOUR,42122,COMMUNITY
33,DAR JAMAA,42105,COMMUNITY
34,GHMATE,42252,COMMUNITY
35,HAD ABADALLAH GHIATE,40066,COMMUNITY
36,HAD ZERKTEN,42075,COMMUNITY
37,IGHIL,42154,COMMUNITY
38,IGOUDAR,42402,COMMUNITY
39,IGUERFEROUANE,42054,COMMUNITY
40,IJOUKAK,42155,COMMUNITY
41,IMGDAL,42172,COMMUNITY
42,LALLA TAKARKOUSTE,42202,COMMUNITY
43,MOULAY BRAHIM,42174,COMMUNITY
44,OUAZGUITA,42106,COMMUNITY
45,OUIRGANE,42173,COMMUNITY
46,OUKAIMEDEN,40273,COMMUNITY
47,OULAD MTAA,42112,COMMUNITY
48,SIDI BADHAJ,42113,COMMUNITY
49,STI FADMA,42303,COMMUNITY
50,TADDART,42076,COMMUNITY
51,TAHANAOUTE,42302,COMMUNITY
52,TAMAGUERT,42055,COMMUNITY
53,TAMAZOUZTE,42272,COMMUNITY
54,TAMESLOUHTE,42312,COMMUNITY
55,TAZZARTE,42084,COMMUNITY
56,TIDILI MESFIOUA,42085,COMMUNITY
57,TIZGUINE,42102,COMMUNITY
58,TLETA NYACOUB,42353,COMMUNITY
59,TNINE OURIKA,42452,COMMUNITY
60,TOUAMA,42086,COMMUNITY
61,ABDELGHAYA SOUAHEL,32354,COMMUNITY
62,AIN BENABBOU,32372,COMMUNITY
63,AIT KAMRA,32022,COMMUNITY
64,AIT YOUSSEF OU ALI,32003,COMMUNITY
65,AJDIR,35052,COMMUNITY
66,ARBAA TAOURIRT,32004,COMMUNITY
67,BENI GMIL MESTASSA,32122,COMMUNITY
68,BNI ABDALLAH,32172,COMMUNITY
69,BNI AHMED IMOUKZAN,32355,COMMUNITY
70,BNI AMMART,32352,COMMUNITY
71,BNI BCHIR,32374,COMMUNITY
72,BNI BOUAYACH,32050,COMMUNITY
73,BNI BOUCHIBET,32356,COMMUNITY
74,BNI BOUFRAH,32102,COMMUNITY
75,BNI BOUNSAR,32373,COMMUNITY
76,BNI GMIL MAKSOULINE,32103,COMMUNITY
77,BNI HADIFA,32152,COMMUNITY
78,CHAKRANE,32023,COMMUNITY
79,IKAOUEN,32322,COMMUNITY
80,IMRABTEN,32202,COMMUNITY
81,IMZOUREN,32250,COMMUNITY
82,ISSAGUEN,32302,COMMUNITY
83,IZEMMOUREN,32024,COMMUNITY
84,KETAMA,32323,COMMUNITY
85,LOUTA,32033,COMMUNITY
86,MOULAY AHMED CHERIF,32362,COMMUNITY
87,NEKKOUR,32072,COMMUNITY
88,ROUADI,32006,COMMUNITY
89,SENADA,32013,COMMUNITY
90,SIDI BOUTMIM,32363,COMMUNITY
91,SIDI BOUZINEB,32375,COMMUNITY
92,TABARANNT,32324,COMMUNITY
93,TAGHZOUT,32325,COMMUNITY
94,TAMSAOUT,32364,COMMUNITY
95,TARGUIST,32350,COMMUNITY
96,TIFAROUINE,32032,COMMUNITY
97,TIZI TCHEN,32326,COMMUNITY
98,TORRES DE ALCALA,32014,COMMUNITY
99,ZAOUIAT SIDI ABDELKADER,32026,COMMUNITY
100,ZARKAT,32034,COMMUNITY
